"time","capacitor.C","capacitor.IC","capacitor.v","inductor.L","inductor.i","resistor.R","resistor.v","resistor.LossPower"
"0.606","0.47148819732072145","10.0","6.090029757883078","0.9199976744117679","5.624182656429964","0.03865993145239214","-0.21743051597331514","1.2228689369157373"
"0.607","0.47148819732072145","10.0","6.078094406417919","0.9199976744117679","5.630559305856893","0.03865993145239214","-0.21767703680305614","1.225643465242801"
"0.608","0.47148819732072145","10.0","6.066145544796559","0.9199976744117679","5.6369227072201","0.03865993145239214","-0.21792304546356178","1.2284153634001096"
"0.609","0.47148819732072145","10.0","6.05418320115132","0.9199976744117679","5.6432728464195065","0.03865993145239214","-0.218168541409724","1.2311846056804452"
"0.61","0.47148819732072145","10.0","6.042207403645011","0.9199976744117679","5.649609709386656","0.03865993145239214","-0.21841352409765719","1.2339511664034803"
"0.611","0.47148819732072145","10.0","6.030218180470867","0.9199976744117679","5.65593328208474","0.03865993145239214","-0.21865799298469932","1.2367150199160124"
"0.612","0.47148819732072145","10.0","6.018215559852503","0.9199976744117679","5.66224355050865","0.03865993145239214","-0.21890194752941391","1.239476140592207"
"0.613","0.47148819732072145","10.0","6.006199570043839","0.9199976744117679","5.668540500685009","0.03865993145239214","-0.21914538719159107","1.2422345028338317"
"0.614","0.47148819732072145","10.0","5.994170239329067","0.9199976744117679","5.674824118672219","0.03865993145239214","-0.2193883114322496","1.2449900810705021"
"0.615","0.47148819732072145","10.0","5.982127596022582","0.9199976744117679","5.6810943905604905","0.03865993145239214","-0.21963071971363807","1.2477428497599126"
"0.616","0.47148819732072145","10.0","5.97007166846892","0.9199976744117679","5.687351302471896","0.03865993145239214","-0.21987261149923665","1.2504927833880808"
"0.617","0.47148819732072145","10.0","5.958002485042718","0.9199976744117679","5.693594840560391","0.03865993145239214","-0.22011398625375828","1.253239856469579"
"0.618","0.47148819732072145","10.0","5.945920074148643","0.9199976744117679","5.699824991011879","0.03865993145239214","-0.2203548434431509","1.2559840435477816"
